centroid_75,nlength,Description,Preferred_name,6_gene_present,9_gene_present,eggnog_og,gene_clust,amr_hit,cog_category,6_clust_frac,9_clust_frac
GUT_GENOME000026_00721,1428.5330562901397,Lysine-specific permease,lysP,True,True,"1QTSM@1224|Proteobacteria,COG0833@1|root,COG0833@2|Bacteria,3XP8G@561|Escherichia,1RNI2@1236|Gammaproteobacteria",,,E,,
GUT_GENOME000026_00741,1498.5058957778624,cyclic-guanylate-specific phosphodiesterase activity,rtn,True,True,"3XM4Z@561|Escherichia,COG2200@2|Bacteria,COG2200@1|root,1NJQD@1224|Proteobacteria,1RNEP@1236|Gammaproteobacteria",,,T,,
GUT_GENOME000026_00776,1586.8642866348755,malate dehydrogenase (menaquinone) activity,mqo,True,True,"COG0579@2|Bacteria,1RRBV@1236|Gammaproteobacteria,COG0579@1|root,3XPAI@561|Escherichia,1MUCC@1224|Proteobacteria",,,"C,G",,
GUT_GENOME000026_00827,949.6557768924304,"Converts 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1- carboxylate (SHCHC) to 2-succinylbenzoate (OSB)",menC,True,True,"1MV33@1224|Proteobacteria,1RRC0@1236|Gammaproteobacteria,COG1441@1|root,COG1441@2|Bacteria,3XNDA@561|Escherichia",,,H,,
GUT_GENOME000026_00846,1285.7502854967645,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain",nuoF,True,True,"1MV8F@1224|Proteobacteria,COG1894@1|root,COG1894@2|Bacteria,1RMUD@1236|Gammaproteobacteria,3XNXF@561|Escherichia",,,C,,
GUT_GENOME000026_00863,550.421232443376,"Shows phosphodiesterase activity, hydrolyzing phosphodiesters bonds in the artificial chromogenic substrates bis-p-nitrophenyl phosphate (bis-pNPP), and less efficiently thymidine 5'-monophosphate p-nitrophenyl ester (pNP-TMP) and p- nitrophenylphosphorylcholine (pNPPC). The physiological substrate is",yfcE,True,True,"COG0622@2|Bacteria,1RY3X@1236|Gammaproteobacteria,COG0622@1|root,1R3Y7@1224|Proteobacteria,3XMZI@561|Escherichia",,,R,,
GUT_GENOME000026_00897,476.5262397688974,Part of the yfcOPQRSUV fimbrial operon. Could contribute to adhesion to various surfaces in specific environmental niches. Increases adhesion to eukaryotic T24 bladder epithelial cells in the absence of fim genes,yfcQ,True,False,"COG3539@2|Bacteria,3XQ2E@561|Escherichia,COG3539@1|root,1REAV@1224|Proteobacteria,1S7WR@1236|Gammaproteobacteria",925.0,,"N,U",0.75,0.25
GUT_GENOME000026_00937,1207.914810472841,"H( )-stimulated, divalent metal cation uptake system",mntH,True,True,"1RNA2@1236|Gammaproteobacteria,3XMY0@561|Escherichia,COG1914@1|root,1MW6X@1224|Proteobacteria,COG1914@2|Bacteria",,,P,,
GUT_GENOME000026_01018,358.89026888604354,"oxidoreductase activity, acting on phosphorus or arsenic in donors, disulfide as acceptor",arsC,True,True,"COG1393@2|Bacteria,COG1393@1|root,3XPP4@561|Escherichia,1S8XH@1236|Gammaproteobacteria,1MZ4Z@1224|Proteobacteria",,,P,,
GUT_GENOME000026_01037,216.0,zinc-ribbons,yfgJ,True,True,"1N9D9@1224|Proteobacteria,1SCH3@1236|Gammaproteobacteria,COG1645@2|Bacteria,COG1645@1|root,3XQ32@561|Escherichia",942.0,,R,1.0,0.5
GUT_GENOME000026_01040,617.8526968381897,Tetratricopeptide repeat-like domain,yfgM,True,True,"COG2976@2|Bacteria,COG2976@1|root,1N117@1224|Proteobacteria,1S95P@1236|Gammaproteobacteria,3XMCB@561|Escherichia",,,T,,
GUT_GENOME000026_01052,335.9429542878731,that it has a role as a cellular electron transfer protein. Involved in the in vivo assembly of the Fe-S clusters in a wide variety of iron- sulfur proteins,fdx,True,True,"1RHDC@1224|Proteobacteria,COG0633@2|Bacteria,1S5XW@1236|Gammaproteobacteria,COG0633@1|root,3XPTK@561|Escherichia",,,C,,
GUT_GENOME000026_01128,272.99770056208484,"Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions",hupA,True,False,"1S8VH@1236|Gammaproteobacteria,1MZ5B@1224|Proteobacteria,COG0776@1|root,COG0776@2|Bacteria,3XPW4@561|Escherichia",,,L,,
GUT_GENOME000026_01129,589.53519510329,Protein of unknown function (DUF416),yjaG,True,True,"COG3068@2|Bacteria,COG3068@1|root,1RQDG@1236|Gammaproteobacteria,1MWSN@1224|Proteobacteria,3XPD1@561|Escherichia",,,,,
GUT_GENOME000026_01144,703.3083356183164,"Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release",rplA,True,True,"COG0081@2|Bacteria,COG0081@1|root,1RMDW@1236|Gammaproteobacteria,1MUE6@1224|Proteobacteria,3XMSJ@561|Escherichia",,,J,,
GUT_GENOME000026_01145,428.42611919802255,,,True,True,"1NVM8@1224|Proteobacteria,2EDVM@1|root,337QR@2|Bacteria",,,,,
GUT_GENOME000026_01161,1194.4164524421594,ImpA domain protein,,False,True,"1RQNJ@1236|Gammaproteobacteria,COG3515@2|Bacteria,COG3515@1|root,1Q02U@1224|Proteobacteria",861.0,,"M,U",0.0,0.9333333333333333
GUT_GENOME000026_01168,522.9937106918239,protein conserved in bacteria,vasD,False,True,"1MX5E@1224|Proteobacteria,COG3521@2|Bacteria,COG3521@1|root,1S83T@1236|Gammaproteobacteria",861.0,,U,0.0,0.9333333333333333
GUT_GENOME000026_01170,1028.8926315789474,"Type VI secretion, TssG",impH2,False,True,"COG3520@2|Bacteria,COG3520@1|root,3XR7F@561|Escherichia,1RRTG@1236|Gammaproteobacteria,1MWVS@1224|Proteobacteria",861.0,,U,0.0,0.9333333333333333
GUT_GENOME000026_01172,425.95592556317337,type VI secretion system lysozyme-related protein,,False,True,"1RE8H@1224|Proteobacteria,1S45J@1236|Gammaproteobacteria,COG3518@1|root,COG3518@2|Bacteria",861.0,,U,0.0,0.9333333333333333
GUT_GENOME000026_01173,1415.7169811320755,type VI secretion protein,impC,False,True,"COG3517@1|root,1MU5C@1224|Proteobacteria,1RNP7@1236|Gammaproteobacteria,COG3517@2|Bacteria",861.0,,U,0.0,0.9333333333333333
GUT_GENOME000026_01184,485.46153846153845,,,False,True,"1RHBR@1224|Proteobacteria,1S6R5@1236|Gammaproteobacteria,2F6XC@1|root,329C9@2|Bacteria",861.0,,,0.0,0.9333333333333333
GUT_GENOME000026_01202,832.2186996238581,Type III flagellar switch regulator (C-ring) FliN C-term,fliM,True,True,"3XQAT@561|Escherichia,COG1868@2|Bacteria,COG1868@1|root,1RQYR@1236|Gammaproteobacteria,1R6AH@1224|Proteobacteria",2397.0,,N,0.9705882352941176,1.0
GUT_GENOME000026_01203,966.119216113228,"Bacterial regulatory protein, Fis family",lafK,True,True,"1MU0N@1224|Proteobacteria,1RMCK@1236|Gammaproteobacteria,3XQ8N@561|Escherichia,COG2204@2|Bacteria,COG2204@1|root",2397.0,,"K,T",0.9705882352941176,1.0
GUT_GENOME000026_01204,341.7071973827699,Flagellar hook-basal body complex protein FliE,fliE,True,True,"COG1677@2|Bacteria,COG1677@1|root,3XR6Y@561|Escherichia,1N6TP@1224|Proteobacteria,1SCK1@1236|Gammaproteobacteria",2397.0,,N,0.9705882352941176,1.0
GUT_GENOME000026_01221,1177.8074115665356,Flagellar basal body protein FlaE,flgE,True,True,"1RMWX@1236|Gammaproteobacteria,3XQPX@561|Escherichia,COG1749@1|root,COG1749@2|Bacteria,1MU5J@1224|Proteobacteria",2397.0,,N,0.9705882352941176,1.0
GUT_GENOME000026_01222,732.3063320022818,Flagellar basal body rod FlgEFG protein C-terminal,,True,True,"COG4787@2|Bacteria,3XQHH@561|Escherichia,1RXAB@1236|Gammaproteobacteria,1NZWQ@1224|Proteobacteria,COG4787@1|root",2397.0,,N,0.9705882352941176,1.0
GUT_GENOME000026_01225,1080.4,Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation,flgI,True,True,"1MVKW@1224|Proteobacteria,COG1706@2|Bacteria,1RMRB@1236|Gammaproteobacteria,3XQ9H@561|Escherichia,COG1706@1|root",2397.0,,N,0.9705882352941176,1.0
GUT_GENOME000026_01226,299.74246731097213,Rod binding protein,,True,True,"3XR74@561|Escherichia,COG3951@2|Bacteria,1TAEI@1236|Gammaproteobacteria,1PG3B@1224|Proteobacteria,COG3951@1|root",2398.0,,"M,N,O",1.0,1.0
GUT_GENOME000026_01229,957.8190630048464,,,True,True,"3XQYX@561|Escherichia,302U0@2|Bacteria,2CH1M@1|root,1S4AK@1236|Gammaproteobacteria,1RFS8@1224|Proteobacteria",2397.0,,,0.9705882352941176,1.0
GUT_GENOME000026_01236,465.3515745998968,Controls the rotational direction of flagella during chemotaxis,,True,True,"1SAXY@1236|Gammaproteobacteria,3XR78@561|Escherichia,COG1580@1|root,1N0SZ@1224|Proteobacteria,COG1580@2|Bacteria",2397.0,,N,0.9705882352941176,1.0
GUT_GENOME000026_01237,713.180412371134,Sigma-70 region 2,,True,True,"1MWEU@1224|Proteobacteria,1RMKJ@1236|Gammaproteobacteria,3XQN2@561|Escherichia,COG1191@1|root,COG1191@2|Bacteria",2397.0,,K,0.9705882352941176,1.0
GUT_GENOME000026_01265,264.0,,,True,False,,1726.0,,,0.875,0.0
GUT_GENOME000026_01267,598.1122244488978,,,True,False,"2BX90@1|root,1SG1Y@1236|Gammaproteobacteria,331VI@2|Bacteria,1NBC2@1224|Proteobacteria",1726.0,,,0.875,0.0
GUT_GENOME000026_01268,341.292817679558,,,True,False,"1N3XI@1224|Proteobacteria,1SAHS@1236|Gammaproteobacteria,2BX90@1|root,32TMX@2|Bacteria",1733.0,,,0.7777777777777778,0.0
GUT_GENOME000026_01269,371.758389261745,,,True,False,,1733.0,,,0.7777777777777778,0.0
GUT_GENOME000026_01270,2536.1243042671613,Domain of unknown function (DUF927),Z012_01240,True,False,"COG5519@2|Bacteria,COG5519@1|root,COG4643@2|Bacteria,COG4643@1|root,1MW5H@1224|Proteobacteria,1RQ7H@1236|Gammaproteobacteria,3XNIB@561|Escherichia",1733.0,,"L,R,X",0.7777777777777778,0.0
GUT_GENOME000026_01273,672.7767220902613,viral entry into host cell,,True,False,4QCS6@10239|Viruses,1733.0,,,0.7777777777777778,0.0
GUT_GENOME000026_01297,1102.9187544738727,Oxidoreductase,,True,True,"1MVIX@1224|Proteobacteria,COG1902@2|Bacteria,3XPYB@561|Escherichia,COG1902@1|root,1T1RB@1236|Gammaproteobacteria",1037.0,,C,1.0,1.0
GUT_GENOME000026_01301,970.750846310088,Aldo/keto reductase family,,True,True,"COG0667@2|Bacteria,COG0667@1|root,1RPX5@1236|Gammaproteobacteria,1MVEH@1224|Proteobacteria,3XNVY@561|Escherichia",1035.0,,"C,H,R",1.0,1.0
GUT_GENOME000026_01302,824.6065098291975,Aldo/keto reductase family,aRA11,True,True,"COG0656@1|root,1RRAV@1236|Gammaproteobacteria,COG0656@2|Bacteria,1MWFS@1224|Proteobacteria,3XQCN@561|Escherichia",1035.0,,Q,1.0,1.0
GUT_GENOME000026_01304,834.9893169877408,"Bacterial transcription activator, effector binding domain",ykgA,True,True,"COG2207@2|Bacteria,1S84A@1236|Gammaproteobacteria,1RIE3@1224|Proteobacteria,COG2207@1|root,COG3708@1|root,COG3708@2|Bacteria,3XRJH@561|Escherichia",178.0,,K,1.0,1.0
GUT_GENOME000026_01325,491.404958677686,Protein of unknown function (DUF1097),yahC,False,True,"2DC16@1|root,1RA3H@1224|Proteobacteria,1S33K@1236|Gammaproteobacteria,2ZCC8@2|Bacteria,3XMM2@561|Escherichia",,,,,
GUT_GENOME000026_01444,469.6666666666667,Inner membrane protein YlaC,ylaC,True,True,"2CEAX@1|root,3XPGN@561|Escherichia,328KF@2|Bacteria,1RIZ1@1224|Proteobacteria,1S7K3@1236|Gammaproteobacteria",,,,,
GUT_GENOME000026_01474,1269.642153146323,transport protein,ybaT,True,True,"1QVWZ@1224|Proteobacteria,1T2MA@1236|Gammaproteobacteria,COG0531@1|root,COG0531@2|Bacteria,3XPI4@561|Escherichia",,,E,,
GUT_GENOME000026_01524,332.2089591223717,Part of a cation efflux system that mediates resistance to copper and silver. Binds one copper per polypeptide,cusF,True,True,"COG5569@1|root,COG5569@2|Bacteria,1N4KG@1224|Proteobacteria,1S9YP@1236|Gammaproteobacteria,3XQZW@561|Escherichia",,,P,,
GUT_GENOME000026_01582,639.5933350357508,Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate,lipB,True,True,"1MU6A@1224|Proteobacteria,COG0321@1|root,COG0321@2|Bacteria,1RMXQ@1236|Gammaproteobacteria,3XM74@561|Escherichia",,,H,,
GUT_GENOME000026_01616,795.2527458811783,Catalyzes the reversible isomerization-deamination of glucosamine 6-phosphate (GlcN6P) to form fructose 6-phosphate (Fru6P) and ammonium ion,nagB,True,True,"1MVEA@1224|Proteobacteria,1RQ2V@1236|Gammaproteobacteria,COG0363@1|root,COG0363@2|Bacteria,3XNCZ@561|Escherichia",,,"F,G",,
GUT_GENOME000026_01631,528.5020684467845,Low-potential electron donor to a number of redox enzymes,fldA,True,True,"COG0716@2|Bacteria,1RMNT@1236|Gammaproteobacteria,1MX7F@1224|Proteobacteria,COG0716@1|root,3XMN6@561|Escherichia",,,C,,
GUT_GENOME000026_01632,362.6729323308271,regulation of nucleic acid-templated transcription,ybfE,True,True,"2DB8J@1|root,32TX0@2|Bacteria,1MZBR@1224|Proteobacteria,1S9W6@1236|Gammaproteobacteria",,,,,
GUT_GENOME000026_01665,1504.9912063413426,"A terminal oxidase that produces a proton motive force by the vectorial transfer of protons across the inner membrane. It is the component of the aerobic respiratory chain of E.coli that predominates when cells are grown at low aeration. Generates a proton motive force using protons and electrons from opposite sides of the membrane to generate H(2)O, transferring 1 proton electron",cydA,True,True,"COG1271@2|Bacteria,1MV60@1224|Proteobacteria,1RN2U@1236|Gammaproteobacteria,COG1271@1|root,3XNDG@561|Escherichia",,,C,,
GUT_GENOME000026_01694,770.4380048724196,Molybdate-binding periplasmic,modA,True,True,"COG0725@2|Bacteria,COG0725@1|root,1RN71@1236|Gammaproteobacteria,1MVNA@1224|Proteobacteria,3XP51@561|Escherichia",,,P,,
GUT_GENOME000026_01695,686.4466357308585,Molybdenum transport system permease protein ModB,modB,True,True,"1MUXR@1224|Proteobacteria,1RRDV@1236|Gammaproteobacteria,COG4149@1|root,COG4149@2|Bacteria,3XMCK@561|Escherichia",,,P,,
GUT_GENOME000026_01745,514.0169292876677,Outer membrane protein X,ompX,True,True,"1S1ZI@1236|Gammaproteobacteria,COG3637@2|Bacteria,1RAHA@1224|Proteobacteria,COG3637@1|root,3XPDG@561|Escherichia",,,M,,
GUT_GENOME000026_01757,1214.3027450980392,Molybdopterin,moeA,True,True,"1RMQU@1236|Gammaproteobacteria,3XN1A@561|Escherichia,COG0303@1|root,COG0303@2|Bacteria,1MVD5@1224|Proteobacteria",,,H,,
GUT_GENOME000026_01758,932.1728095906136,"Degrades proteins damaged by L-isoaspartyl residue formation (also known as beta-Asp residues). Degrades L- isoaspartyl-containing di- and maybe also tripeptides. Also has L- asparaginase activity, although this may not be its principal function",iaaA,True,True,"1MWFC@1224|Proteobacteria,COG1446@2|Bacteria,COG1446@1|root,1RNUR@1236|Gammaproteobacteria,3XPAN@561|Escherichia",,,E,,
GUT_GENOME000026_01811,897.1860643185298,Baseplate J-like protein,,True,False,"COG3948@2|Bacteria,COG3948@1|root,1RNBJ@1236|Gammaproteobacteria,1MUFF@1224|Proteobacteria,3XQVU@561|Escherichia",1857.0,,X,0.9047619047619048,0.0
GUT_GENOME000026_01827,892.6960771536557,"Is an L-glutamate ligase that catalyzes the ATP- dependent post-translational addition of glutamate residues to the C-terminus of ribosomal protein S6 (RpsF). Is also able to catalyze the synthesis of poly-alpha-glutamate in vitro, via ATP hydrolysis from unprotected glutamate as substrate. The number of glutamate residues added to either RpsF or to poly-alpha-glutamate changes with pH",rimK,True,True,"1MX62@1224|Proteobacteria,1RM8B@1236|Gammaproteobacteria,3XMV6@561|Escherichia,COG0189@1|root,COG0189@2|Bacteria",,,"E,F,H,J,Q",,
GUT_GENOME000026_01866,218.9972144846797,"One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre- initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initation complex",infA,True,True,"1S8WZ@1236|Gammaproteobacteria,1MZFU@1224|Proteobacteria,COG0361@1|root,COG0361@2|Bacteria,1Y8ZY@135625|Pasteurellales",2415.0,,J,1.0,1.0
GUT_GENOME000026_01868,1664.4343074968233,ATP-binding,cydC,True,True,"1RQD7@1236|Gammaproteobacteria,1QU1P@1224|Proteobacteria,COG4987@2|Bacteria,COG4987@1|root,3XNCD@561|Escherichia",,,"C,O,P",,
GUT_GENOME000026_01870,973.0396571574772,Belongs to the class-II pyridine nucleotide-disulfide oxidoreductase family,trxB,True,True,"COG0492@2|Bacteria,COG0492@1|root,1RMEX@1236|Gammaproteobacteria,1MV15@1224|Proteobacteria,3XNJ5@561|Escherichia",,,O,,
GUT_GENOME000026_01885,680.404939239514,Protein of unknown function (DUF421),ycaP,True,True,"COG2323@2|Bacteria,1MW5I@1224|Proteobacteria,1RS6M@1236|Gammaproteobacteria,3XPE8@561|Escherichia,COG2323@1|root",,,,,
GUT_GENOME000026_01928,452.13671875,"Required for spatial organization of the terminus region of the chromosome (Ter macrodomain) during the cell cycle. Prevents early segregation of duplicated Ter macrodomains during cell division. Binds specifically to matS, which is a 13 bp signature motif repeated within the Ter macrodomain",matP,True,True,"COG3120@2|Bacteria,1S28S@1236|Gammaproteobacteria,COG3120@1|root,1RA57@1224|Proteobacteria,3XMGH@561|Escherichia",,,"D,L",,
GUT_GENOME000026_01931,618.6299272866437,"Induces low levels of natural DNA uptake by inducing transcription of the competence genes (the CRP-S regulon) required for DNA transformation. Induction of the CRP-S regulon also requires Sxy-activated promoter (CRP-S), cAMP receptor protein (CRP) and cAMP. Induces CRP-S site-containing genes which are involved in genome maintenance and transcription or encoding transposases and toxin-antitoxin pairs",sxy,True,True,"COG3070@1|root,3XN76@561|Escherichia,1S496@1236|Gammaproteobacteria,1RDWD@1224|Proteobacteria,COG3070@2|Bacteria",,,K,,
GUT_GENOME000026_01933,446.3576661097545,Inner membrane component domain,yccF,True,True,"COG3304@2|Bacteria,COG3304@1|root,3XNXJ@561|Escherichia,1RA96@1224|Proteobacteria,1S1ZC@1236|Gammaproteobacteria",,,,,
GUT_GENOME000026_02029,689.5812720848056,DNA-binding transcription factor activity,yieP,True,True,"3XM43@561|Escherichia,1RR9F@1236|Gammaproteobacteria,1MV83@1224|Proteobacteria,COG2186@1|root,COG2186@2|Bacteria",,,K,,
GUT_GENOME000026_02043,1847.9235786364757,"NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34",gidA,True,True,"COG0445@2|Bacteria,1MU6F@1224|Proteobacteria,COG0445@1|root,1RMM1@1236|Gammaproteobacteria,3XNZB@561|Escherichia",,,"D,J",,
GUT_GENOME000026_02046,813.2307987220447,it plays a direct role in the translocation of protons across the membrane,atpB,True,True,"1MV87@1224|Proteobacteria,COG0356@2|Bacteria,COG0356@1|root,1RPHK@1236|Gammaproteobacteria,3XMPD@561|Escherichia",,,C,,
GUT_GENOME000026_02068,624.4608593290171,Catalyzes strongly the dephosphorylation of 6- phosphogluconate (6P-Glu) and slightly the dephosphorylation of dihydroxyacetone phosphate (DHAP) and phosphoenolpyruvate (PEP). Also hydrolyzes both purines (GMP and IMP) and pyrimidines as secondary substrates,yieH,True,True,"COG0637@1|root,1NSPA@1224|Proteobacteria,1RQET@1236|Gammaproteobacteria,COG0637@2|Bacteria,3XMUW@561|Escherichia",1017.0,,G,1.0,1.0
GUT_GENOME000026_02082,1064.8167250876315,"it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP",recF,True,True,"1MX8N@1224|Proteobacteria,1RN5P@1236|Gammaproteobacteria,COG1195@2|Bacteria,COG1195@1|root,3XNSR@561|Escherichia",,,L,,
GUT_GENOME000026_02125,1525.2306830907055,Mga helix-turn-helix domain,,True,False,"COG3711@1|root,1RSDI@1236|Gammaproteobacteria,1PKXV@1224|Proteobacteria,COG3711@2|Bacteria,3XRBI@561|Escherichia",940.0,,K,0.875,0.0
GUT_GENOME000026_02128,1068.7242144177449,Pts system fructose-specific,,True,False,"1RMZC@1236|Gammaproteobacteria,1MXFN@1224|Proteobacteria,3XN1D@561|Escherichia,COG1299@1|root,COG1299@2|Bacteria",941.0,,G,0.9428571428571428,0.02857142857142857
GUT_GENOME000026_02130,848.820813484793,Fructose-bisphosphate aldolase class-II,fba,True,False,"1MURX@1224|Proteobacteria,COG0191@2|Bacteria,COG0191@1|root,3XRJR@561|Escherichia,1RQUC@1236|Gammaproteobacteria",941.0,,G,0.9428571428571428,0.02857142857142857
GUT_GENOME000026_02161,687.7934434311068,Lipopolysaccharide core biosynthesis protein (WaaY),waaY,True,False,"COG0661@1|root,1S0QH@1236|Gammaproteobacteria,COG0661@2|Bacteria,3XMH6@561|Escherichia,1QI02@1224|Proteobacteria",230.0,,"H,T",1.0,0.0
GUT_GENOME000026_02176,467.3143389199255,"One of the proteins required for the normal export of preproteins out of the cell cytoplasm. It is a molecular chaperone that binds to a subset of precursor proteins, maintaining them in a translocation-competent state. It also specifically binds to its receptor SecA",secB,True,True,"1RI75@1224|Proteobacteria,COG1952@2|Bacteria,COG1952@1|root,1S62H@1236|Gammaproteobacteria,3XNNZ@561|Escherichia",,,U,,
GUT_GENOME000026_02178,815.8048595292331,Belongs to the transferase hexapeptide repeat family,cysE,True,True,"COG1045@2|Bacteria,COG1045@1|root,1RNCA@1236|Gammaproteobacteria,1MVFX@1224|Proteobacteria,3XNRD@561|Escherichia",,,E,,
GUT_GENOME000026_02184,648.486083499006,Protein of unknown function (DUF3251),,False,True,"3XQDP@561|Escherichia,1S5KT@1236|Gammaproteobacteria,1RFVD@1224|Proteobacteria,2ZYYI@2|Bacteria,2C0YN@1|root",1015.0,,,0.0,1.0
GUT_GENOME000026_02218,1412.8456026058632,xylulose metabolic process,xylB,True,True,"1RR7X@1236|Gammaproteobacteria,COG1070@2|Bacteria,COG1070@1|root,3XNNY@561|Escherichia,1MW4A@1224|Proteobacteria",,,"F,G",,
GUT_GENOME000026_02227,290.9937976482749,HTH-type transcriptional regulator YiaG,yiaG,True,True,"1MZTT@1224|Proteobacteria,1S95K@1236|Gammaproteobacteria,3XPXQ@561|Escherichia,COG2944@1|root,COG2944@2|Bacteria",,,K,,
